14:47:53 topic: pageviews/Partition 0 | message lag: 0.0
14:47:53 topic: inventory/Partition 0 | message lag: 0.0
14:47:53 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:54 topic: pageviews/Partition 0 | message lag: 0.0
14:47:54 topic: inventory/Partition 0 | message lag: 0.0
14:47:54 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:55 topic: pageviews/Partition 0 | message lag: 0.0
14:47:55 topic: inventory/Partition 0 | message lag: 0.0
14:47:55 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:56 topic: pageviews/Partition 0 | message lag: 0.0
14:47:56 topic: inventory/Partition 0 | message lag: 0.0
14:47:56 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:57 topic: pageviews/Partition 0 | message lag: 0.0
14:47:57 topic: inventory/Partition 0 | message lag: 0.0
14:47:57 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:58 topic: pageviews/Partition 0 | message lag: 0.0
14:47:58 topic: inventory/Partition 0 | message lag: 0.0
14:47:58 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:47:59 topic: pageviews/Partition 0 | message lag: 0.0
14:47:59 topic: inventory/Partition 0 | message lag: 0.0
14:47:59 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:00 topic: pageviews/Partition 0 | message lag: 0.0
14:48:00 topic: inventory/Partition 0 | message lag: 0.0
14:48:00 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:01 topic: pageviews/Partition 0 | message lag: 0.0
14:48:01 topic: inventory/Partition 0 | message lag: 0.0
14:48:01 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:02 topic: pageviews/Partition 0 | message lag: 0.0
14:48:02 topic: inventory/Partition 0 | message lag: 0.0
14:48:02 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:03 topic: pageviews/Partition 0 | message lag: 0.0
14:48:03 topic: inventory/Partition 0 | message lag: 0.0
14:48:03 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:04 topic: pageviews/Partition 0 | message lag: 0.0
14:48:04 topic: inventory/Partition 0 | message lag: 0.0
14:48:04 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:05 topic: pageviews/Partition 0 | message lag: 0.0
14:48:05 topic: inventory/Partition 0 | message lag: 0.0
14:48:05 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:06 topic: pageviews/Partition 0 | message lag: 0.0
14:48:06 topic: inventory/Partition 0 | message lag: 0.0
14:48:06 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:48:07 topic: pageviews/Partition 0 | message lag: 0.0
14:48:07 topic: inventory/Partition 0 | message lag: 0.0
14:48:07 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
